Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1946,Erie,NA,432,NA,6959,695,400,2041,5103
1946,Huron,6,3292,1540,2338,508,NA,3476,1362
1946,Michigan,267,1895,3975,237,91,65,1272,1473
1946,Ontario,1,14,103,49,0,0,213,199
1946,Saint Clair,NA,0,NA,49,13,NA,288,37
1946,Superior,0,228,4975,159,NA,NA,NA,NA
1947,Erie,NA,568,NA,4707,749,460,1925,4048
1947,Huron,4,2564,780,1444,542,NA,2750,1028
1947,Michigan,787,1621,2426,366,39,73,1032,1400
1947,Ontario,0,23,65,44,2,0,135,154
1947,Saint Clair,NA,0,NA,35,33,NA,141,29
1947,Superior,0,72,4250,180,NA,NA,NA,NA
1948,Erie,NA,469,NA,4821,653,358,1725,4578
1948,Huron,0,2608,698,1378,386,NA,3034,1690
1948,Michigan,1131,1805,1196,636,26,88,1095,1514
1948,Ontario,0,18,42,32,0,0,229,179
1948,Saint Clair,NA,0,NA,44,7,NA,282,11
1948,Superior,1,82,4401,152,NA,NA,NA,NA
1949,Erie,NA,634,NA,6163,867,304,2397,4938
1949,Huron,22,2046,800,1348,334,NA,2028,1506
1949,Michigan,1539,1811,342,1120,27,28,1361,1377
1949,Ontario,4,27,22,30,1,0,202,170
1949,Saint Clair,NA,0,NA,53,24,NA,322,18
1949,Superior,1,64,4321,152,NA,NA,NA,NA
1950,Erie,NA,650,NA,6717,990,235,2153,4720
1950,Huron,232,1954,830,1312,324,NA,2466,1552
1950,Michigan,2417,1228,54,1349,22,16,1147,1483
1950,Ontario,0,8,15,34,0,0,245,140
1950,Saint Clair,NA,0,NA,37,2,NA,294,22
1950,Superior,1,100,4699,178,NA,NA,NA,NA
1951,Erie,NA,558,NA,7205,1283,184,2437,5284
1951,Huron,436,2394,1104,1066,454,NA,3472,1606
1951,Michigan,3399,1008,11,561,9,16,1136,1442
1951,Ontario,7,39,42,92,0,0,227,160
1951,Saint Clair,NA,0,NA,34,2,NA,191,22
1951,Superior,1,127,4184,223,NA,NA,NA,NA
1952,Erie,375,960,NA,7314,1761,269,3211,3943
1952,Huron,456,2822,1176,950,666,NA,3392,1740
1952,Michigan,5112,744,3,301,8,9,1106,1957
1952,Ontario,253,82,34,103,28,0,268,122
1952,Saint Clair,NA,126,NA,68,53,NA,411,30
1952,Superior,45,139,4227,175,NA,NA,NA,NA
1953,Erie,1030,557,NA,8451,1518,205,3215,7390
1953,Huron,424,2744,688,1254,714,NA,2862,1942
1953,Michigan,10362,1639,0,612,10,8,2234,4333
1953,Ontario,289,73,17,75,20,1,384,93
1953,Saint Clair,NA,114,NA,73,58,NA,575,38
1953,Superior,21,109,3784,174,NA,NA,NA,NA
1954,Erie,1266,580,NA,8143,2052,133,4021,12584
1954,Huron,334,2824,336,1094,594,NA,3104,1682
1954,Michigan,11620,1218,0,1018,17,26,2686,5175
1954,Ontario,270,84,8,115,32,0,320,84
1954,Saint Clair,NA,137,NA,71,82,NA,615,23
1954,Superior,25,103,3522,157,NA,NA,NA,NA
1955,Erie,2040,431,NA,10568,2096,100,3515,7161
1955,Huron,318,2470,146,1016,772,NA,3068,1822
1955,Michigan,10815,1368,0,1952,8,23,3712,6726
1955,Ontario,243,62,4,126,29,0,328,84
1955,Saint Clair,NA,92,NA,54,71,NA,497,14
1955,Superior,74,113,3104,152,NA,NA,NA,NA
1956,Erie,3694,400,NA,15405,1789,120,3754,18628
1956,Huron,596,1626,102,1190,766,NA,2704,1146
1956,Michigan,14727,1278,0,1600,16,15,3702,6406
1956,Ontario,272,81,2,122,22,0,625,73
1956,Saint Clair,NA,122,NA,56,85,NA,695,19
1956,Superior,121,75,2339,187,NA,NA,NA,NA
1957,Erie,4475,491,NA,13329,1677,166,4034,20487
1957,Huron,186,1276,40,916,582,NA,2856,842
1957,Michigan,14047,1282,0,534,10,22,4082,5758
1957,Ontario,177,89,1,118,22,0,324,65
1957,Saint Clair,NA,100,NA,75,86,NA,836,28
1957,Superior,139,76,1429,217,NA,NA,NA,NA
1958,Erie,4657,359,NA,9033,1670,159,5144,22471
1958,Huron,204,1202,22,840,606,NA,4614,2200
1958,Michigan,18201,1370,0,434,2,21,2484,6643
1958,Ontario,296,78,2,168,27,0,333,106
1958,Saint Clair,NA,75,NA,67,47,NA,679,49
1958,Superior,332,82,1425,164,NA,NA,NA,NA
1959,Erie,6858,384,NA,3001,1621,60,4405,28955
1959,Huron,140,1286,2,1142,698,NA,2702,1198
1959,Michigan,12008,1224,0,364,0,7,3874,3832
1959,Ontario,208,71,1,152,40,0,554,60
1959,Saint Clair,NA,108,NA,102,58,NA,553,37
1959,Superior,802,102,1106,272,NA,NA,NA,NA
1960,Erie,11496,326,NA,1791,1783,31,4876,18044
1960,Huron,158,1242,2,896,612,NA,2804,2782
1960,Michigan,6517,1534,0,236,4,2,2821,6373
1960,Ontario,188,48,5,127,33,0,332,174
1960,Saint Clair,NA,113,NA,138,86,NA,301,35
1960,Superior,948,96,502,250,NA,NA,NA,NA
1961,Erie,12852,403,NA,1074,1754,7,4951,20979
1961,Huron,64,1562,2,688,504,NA,2960,3382
1961,Michigan,4306,988,0,194,0,6,3684,9735
1961,Ontario,223,69,8,126,17,1,363,222
1961,Saint Clair,NA,132,NA,236,79,NA,267,22
1961,Superior,1340,68,370,228,NA,NA,NA,NA
1962,Erie,19182,324,NA,717,1302,2,4925,28408
1962,Huron,58,1702,0,1004,390,NA,3366,1984
1962,Michigan,3092,525,0,134,0,0,2409,7873
1962,Ontario,202,81,2,120,24,1,287,119
1962,Saint Clair,NA,116,NA,260,86,NA,306,11
1962,Superior,956,66,326,175,NA,NA,NA,NA
1963,Erie,10830,282,NA,2674,1246,4,3532,23785
1963,Huron,30,1288,2,1022,388,NA,3474,2138
1963,Michigan,2366,598,26,120,4,4,2556,9521
1963,Ontario,170,54,1,70,22,1,453,143
1963,Saint Clair,NA,108,NA,329,83,NA,284,16
1963,Superior,1497,78,215,168,NA,NA,NA,NA
1964,Erie,13181,327,NA,1164,1335,4,3097,9871
1964,Huron,64,1298,2,946,342,NA,2090,3090
1964,Michigan,1938,430,0,70,0,15,2638,11041
1964,Ontario,129,50,0,69,21,0,309,318
1964,Saint Clair,NA,90,NA,356,62,NA,219,21
1964,Superior,2040,110,210,216,NA,NA,NA,NA
1965,Erie,11713,269,NA,783,1111,5,3342,21760
1965,Huron,64,1078,2,866,314,NA,2918,2644
1965,Michigan,1854,336,0,52,0,12,4032,2474
1965,Ontario,202,29,0,51,27,0,334,477
1965,Saint Clair,NA,42,NA,274,67,NA,251,47
1965,Superior,1244,57,223,293,NA,NA,NA,NA
1966,Erie,15923,245,NA,1346,902,3,3792,24761
1966,Huron,62,1034,0,660,380,NA,1802,3098
1966,Michigan,2222,806,0,50,0,9,5427,1360
1966,Ontario,141,34,0,48,27,0,317,169
1966,Saint Clair,NA,67,NA,249,48,NA,326,36
1966,Superior,1265,56,228,378,NA,NA,NA,NA
1967,Erie,12504,254,NA,1258,780,6,3094,25452
1967,Huron,112,938,4,588,312,NA,2140,2776
1967,Michigan,2448,772,1,32,3,31,5074,2452
1967,Ontario,155,37,0,27,17,0,414,299
1967,Saint Clair,NA,80,NA,184,74,NA,215,64
1967,Superior,1496,69,403,275,NA,NA,NA,NA
1968,Erie,12224,162,NA,844,861,1,2827,28169
1968,Huron,58,744,8,862,240,NA,2194,2016
1968,Michigan,3578,917,73,20,0,59,4689,1080
1968,Ontario,168,23,0,23,26,0,461,318
1968,Saint Clair,NA,122,NA,226,109,NA,290,59
1968,Superior,1394,93,399,120,NA,NA,NA,NA
1969,Erie,15078,188,NA,475,838,0,3210,33166
1969,Huron,136,638,2,656,284,NA,2800,1944
1969,Michigan,4962,1566,82,28,2,61,4238,1313
1969,Ontario,146,23,0,19,24,0,611,453
1969,Saint Clair,NA,107,NA,328,67,NA,82,48
1969,Superior,1067,117,413,24,NA,NA,NA,NA
1970,Erie,9404,142,NA,99,578,0,3431,23024
1970,Huron,8,632,0,216,484,NA,2524,1624
1970,Michigan,3952,1906,86,24,0,92,3865,1123
1970,Ontario,165,24,0,10,35,0,515,1004
1970,Saint Clair,NA,31,NA,43,0,NA,3,3
1970,Superior,1575,135,357,9,NA,NA,NA,NA
1971,Erie,13132,141,NA,85,729,0,3429,16563
1971,Huron,6,570,1,194,772,NA,2870,1896
1971,Michigan,2642,2565,74,20,0,149,4928,1052
1971,Ontario,205,11,0,7,28,0,499,921
1971,Saint Clair,NA,0,NA,NA,0,NA,0,0
1971,Superior,2449,122,345,4,NA,NA,NA,NA
1972,Erie,10521,211,NA,143,772,0,3314,17512
1972,Huron,12,568,1,154,569,NA,1882,1086
1972,Michigan,1396,846,74,12,0,94,2650,1352
1972,Ontario,221,19,0,6,25,0,471,879
1972,Saint Clair,NA,0,NA,NA,0,NA,0,0
1972,Superior,1524,194,349,2,NA,NA,NA,NA
1973,Erie,17062,145,NA,155,367,0,2452,19917
1973,Huron,50,726,1,390,722,NA,1704,948
1973,Michigan,1749,1408,43,8,0,157,6422,1057
1973,Ontario,104,26,0,5,26,0,432,821
1973,Saint Clair,NA,0,NA,NA,0,NA,0,0
1973,Superior,2502,208,399,1,NA,NA,NA,NA
1974,Erie,15806,132,NA,347,398,0,3152,14580
1974,Huron,428,576,2,538,680,NA,1480,1242
1974,Michigan,3453,1007,36,12,4,231,6488,2131
1974,Ontario,110,21,1,4,28,0,411,751
1974,Saint Clair,NA,0,NA,NA,0,NA,0,0
1974,Superior,3387,304,526,3,NA,NA,NA,NA
1975,Erie,16934,113,NA,252,434,1,3285,10126
1975,Huron,8,588,20,554,666,NA,1366,1622
1975,Michigan,2330,670,38,10,4,274,5760,1342
1975,Ontario,123,12,2,5,30,0,416,660
1975,Saint Clair,NA,0,NA,NA,0,NA,0,0
1975,Superior,1743,274,601,1,NA,NA,NA,NA
1976,Erie,17229,104,NA,323,341,0,3194,6531
1976,Huron,60,868,32,516,854,NA,1564,2066
1976,Michigan,4354,848,10,12,0,160,1496,1303
1976,Ontario,103,13,2,3,4,0,434,627
1976,Saint Clair,NA,0,NA,NA,0,NA,0,0
1976,Superior,4041,197,486,1,NA,NA,NA,NA
1977,Erie,22997,72,NA,599,362,0,3201,11379
1977,Huron,34,663,18,816,936,NA,1662,1374
1977,Michigan,1703,538,0,22,2,238,1054,1591
1977,Ontario,64,14,1,4,9,0,236,633
1977,Saint Clair,NA,0,NA,NA,0,NA,0,0
1977,Superior,2495,170,559,4,NA,NA,NA,NA
1978,Erie,26630,76,0,659,326,0,1921,11386
1978,Huron,18,680,72,NA,1010,NA,1470,1086
1978,Michigan,2739,778,668,12,6,246,1524,1258
1978,Ontario,104,16,0,20,4,0,10,721
1978,Saint Clair,NA,0,NA,NA,0,NA,0,0
1978,Superior,3080,131,993,1,NA,79,NA,90
1979,Erie,23860,106,0,1297,349,1,2404,15197
1979,Huron,60,611,158,1204,1136,19,1411,924
1979,Michigan,NA,1891,2,26,4,196,904,2061
1979,Ontario,68,20,0,53,1,0,8,680
1979,Saint Clair,NA,0,NA,NA,0,NA,0,0
1979,Superior,2056.85149888721,375.270393450785,709.50478754124,5.12328369664047,NA,61,0.49487325485902,107.567707489685
1980,Erie,25109,124,4,1858,361,2,1937,15766
1980,Huron,46,707,380,669,1100,76,1240,1471
1980,Michigan,5080,2711,490,6,4,182,318,1467
1980,Ontario,49,19,0,128,26,0,8,611
1980,Saint Clair,NA,12,NA,NA,15,NA,34,0
1980,Superior,529.123106835765,324.242184814058,808.235115830163,6.57725511212879,NA,54,0.150440989473985,86.2885543790432
1981,Erie,30326,113,4,2167,413,2,2745,10764
1981,Huron,42,764,336,684,1158,18,1609,1829
1981,Michigan,4481,2379,798,10,2,158,770,1066
1981,Ontario,74,14,0,4,34,0,161,1285
1981,Saint Clair,NA,42,NA,NA,92,NA,127,3
1981,Superior,449.392361737161,662.174287124252,850.171771212319,4.67800511706169,NA,42,0.089293179585248,142.817919604388
1982,Erie,43566,96,3,2075,309,0,1628,9753
1982,Huron,54,778,759,674,1431,34,1532,1198
1982,Michigan,3709,2096,552,4,6,236,1274,1900
1982,Ontario,82,30,0,3,28,0,31,1287
1982,Saint Clair,NA,41,NA,NA,70,NA,146,5
1982,Superior,272.821627009023,787.434649781092,823.700326903173,3.51276258053952,NA,24,0.066390436660316,146.481463431561
1983,Erie,29494,104,0,3190,325,8,1749,6030
1983,Huron,0,585,924,640,1465,52,1085,1298
1983,Michigan,14249,4733,644,6,12,126,2086,1370
1983,Ontario,98,29,0,4,17,0,97,1412
1983,Saint Clair,NA,51,NA,NA,66,NA,41,9
1983,Superior,439.813005524848,584.424564047594,819.639027480675,3.33500286108205,NA,9,0.088480581950666,95.9876115941072
1984,Erie,16485,63,1,4195,374,2,1313,9257
1984,Huron,34,551,538,573,1217,78,1167,1572
1984,Michigan,4790,3761,686,48,13,215,3138,2469
1984,Ontario,33,71,0,1,20,0,82,1025
1984,Saint Clair,NA,13,NA,NA,59,NA,62,5
1984,Superior,263.892107642457,553.876556910966,769.26380160352,4.80900926727496,NA,14,0.222231461651181,88.8285776623315
1985,Erie,25478,82,1,5575,304,2,1577,9562
1985,Huron,498,480,669,632,1217,68,1064,1410
1985,Michigan,7198,1766,1028,14,12,90,16,2501
1985,Ontario,19,32,0,0,10,0,109,681
1985,Saint Clair,NA,4,NA,NA,44,NA,19,0
1985,Superior,760.484667820096,371.531355725418,902.25364992139,3.99600194685123,NA,9,0.19428522816442,53.3479289117712
1986,Erie,17463,45,0,6747,319,5,1155,11004
1986,Huron,46,521,687,613,1294,65,1809,1320
1986,Michigan,7200,1706,470,4,6,188,2,3381
1986,Ontario,2,34,0,0,14,0,121,613
1986,Saint Clair,NA,0,NA,NA,23,NA,8,0
1986,Superior,604.456748164905,448.640830225223,951.312102927345,5.50800071033761,NA,2.4,0.42043939213583,51.2803372788218
1987,Erie,25561,54,0,6798,361,4,1492,11232
1987,Huron,68,562,569,667,1198,194,1963,1393
1987,Michigan,5400,2613,462,0,12,130,2,3671
1987,Ontario,0,9,0,0,11,0,34,265
1987,Saint Clair,NA,0,NA,NA,11,NA,6,1
1987,Superior,422.376038590474,569.055739549979,901.819361474526,5.49250126611102,NA,1.5,0.377864689495332,51.2368369927135
1988,Erie,20404,31,0,7589,324,1,1432,13396
1988,Huron,137,643,557,734,1144,134,1378,1309
1988,Michigan,5382,1463,568,2,16,268,4,3401
1988,Ontario,0,23,0,0,19,0,79,327
1988,Saint Clair,NA,0,NA,NA,10,NA,0,0
1988,Superior,349.432001400944,975.11171505992,903.141951006209,2.46285490258792,NA,1.6,0.943437225589615,73.770231252088
1989,Erie,16156,47,0,6889,396,5,1097,14011
1989,Huron,200,738,521,598,1489,117,1201,1474
1989,Michigan,5780,5542,682,10,10,184,4,2091
1989,Ontario,0,27,0,17,25,0,125,252
1989,Saint Clair,NA,0,NA,NA,8,NA,0,0
1989,Superior,383.094253309976,805.755184738833,981.935971408684,4.23550220665064,NA,0.3,0.891890669269828,44.8567950301768
1990,Erie,17835,48,0,6641,411,17,1350,9151
1990,Huron,117,658,357,653,1621,114,1046,1305
1990,Michigan,6154,824,892,2,16,126,0,2534
1990,Ontario,0,15,0,25,28,0,89,227
1990,Saint Clair,NA,0,NA,NA,12,NA,0,0
1990,Superior,108.910003795044,487.535784473572,977.155484074443,5.25100033543721,NA,1.1,1.01175812296187,47.5803129431814
1991,Erie,20221,56,0,6158,421,33,1271,5332
1991,Huron,65,678,347,643,1440,68,577,1534
1991,Michigan,3438,1007,476,2,1,66,1,2320
1991,Ontario,0,16,0,26,27,0,71,304
1991,Saint Clair,NA,0,NA,NA,9,NA,0,0
1991,Superior,71.6840040844413,498.31933391334,627.324060045754,9.27175047191411,NA,1.3,0.548870399726711,78.4110157215494
1992,Erie,12711,72,0,6814,382,26,2082,5110
1992,Huron,25,489,400,592,1119,54,286,944
1992,Michigan,3708,2086,606,6,15,176,4,1879
1992,Ontario,0,5,0,2,21,0,23,247
1992,Saint Clair,NA,0,NA,NA,15,NA,2,0
1992,Superior,85.421738832,572.224394753999,1014.4057509,9.07209042,NA,3.2,2.66744921,39.47920519
1993,Erie,17505,69,0,10200,373,10,1421,4236
1993,Huron,166,375,470,969,863,42,211,570
1993,Michigan,4982,602,676,8,34,156,0,3193
1993,Ontario,0,10,0,36,9,0,32,130
1993,Saint Clair,NA,0,NA,NA,8,NA,0,0
1993,Superior,108.352963048,223.94741965,417.404352769999,0.537830936,NA,3.2,11.834308824,31.071588308
1994,Erie,10593,156,1,9328,420,22,2058,3285
1994,Huron,64,298,604,697,786,10,147,780
1994,Michigan,4100,1852,1026,6,10,102,0,2466
1994,Ontario,0,18,0,36,7,0,19,182
1994,Saint Clair,NA,0,NA,NA,5,NA,0,1
1994,Superior,91.3,98.2198082100001,396.104455385999,8.656570036,NA,2.1,0.639863104,30.073008178
1995,Erie,12121,96,0,9971,425,40,2119,2788
1995,Huron,82,250,1073,483,789,19,64,542
1995,Michigan,2844,1238,874,0,2,90,2,1282
1995,Ontario,0,25,0,34,4,2,23,225
1995,Saint Clair,NA,1,NA,NA,10,NA,0,0
1995,Superior,175.174820636,49.63183923,395.19504728,7.180248096,NA,8,0.637834872,40.478603388
1996,Erie,8745,88,0,10937,487,15,2035,3379
1996,Huron,13,142,1310,380,696,28,44,539
1996,Michigan,1782,1548,1496,6,0,54,0,793
1996,Ontario,0,20,0,37,7,1,22,183
1996,Saint Clair,NA,1,NA,NA,9,NA,0,0
1996,Superior,264.45785726,51.292128738,441.197852457999,6.085516434,NA,0,2.360172062,17.168807512
1997,Erie,13062,75,0,10700,335,19,1750,4841
1997,Huron,31,224,1028,471,828,36,154,572
1997,Michigan,1326,1008,1614,18,2,90,0,249
1997,Ontario,0,7,0,41,4,0,18,212
1997,Saint Clair,NA,0,NA,NA,0,NA,0,0
1997,Superior,42.62489691,55.95877614,425.163177917999,3.702206568,NA,0,2.084685246,29.33848611
1998,Erie,14190,66,0,10333,334,19,1997,4544
1998,Huron,18,116,952,454,556,10,69,722
1998,Michigan,1402,1036,1778,4,0,94,0,414
1998,Ontario,0,6,0,37,3,0,7,285
1998,Saint Clair,NA,0,NA,NA,11,NA,0,0
1998,Superior,18.960966402,83.5182665820001,389.807684878,2.219712404,1,0,0.799035224,56.395182614
1999,Erie,12521,40,0,9148,337,42,1583,4186
1999,Huron,30,98,1004,420,522,9,51,750
1999,Michigan,2672,92,1960,2,2,64,0,354
1999,Ontario,0,5,0,19,1,0,4,308
1999,Saint Clair,NA,0,NA,NA,4,NA,0,1
1999,Superior,36.251989784,49.755884716,432.805751625999,2.348678224,NA,0,0.635343674,46.825351264
2000,Erie,7162,36,0,7044,280,35,1484,4340
2000,Huron,6,57,1151,414,514,2,72,803
2000,Michigan,774,16,1244,26,0,26,NA,116
2000,Ontario,NA,7,NA,12,2,NA,11,316
2000,Saint Clair,NA,0,NA,NA,6,NA,0,0
2000,Superior,80.762999866,30.761063182,540.155325841999,2.977382772,0,0,0.66490736,45.2736876459999
2001,Erie,9345,43,0,3792,343,10,1123,4719
2001,Huron,2,44,1272,502,602,2,70,923
2001,Michigan,656,17,982,26,0,34,NA,78
2001,Ontario,NA,9,NA,18,9,NA,24,239
2001,Saint Clair,NA,0,NA,NA,7,NA,0,0
2001,Superior,114.13515111,29.953759794,429.638022776,7.754280532,32,0,0,31.374919222
2002,Erie,7480,41,0,3928,356,9,913,6385
2002,Huron,6,47,1467,384,547,5,48,760
2002,Michigan,905,5,580,30,2,23,NA,40
2002,Ontario,NA,7,NA,7,4,NA,23,152
2002,Saint Clair,NA,19,NA,NA,5,NA,4,0
2002,Superior,55.594141368,4.33753738,494.407261131999,3.53603038,0,0,0,23.380724418
2003,Erie,7395,16,0,3939,332,5,647,6564
2003,Huron,2,74,1642,391,357,0,34,314
2003,Michigan,370,250,372,18,0,40,0,38
2003,Ontario,NA,6,NA,6,2,NA,14,106
2003,Saint Clair,NA,13,NA,NA,1,NA,2,0
2003,Superior,10.42001457,7.07708685,401.445801734,5.885827046,0,0,0,11.422076692
2004,Erie,12967,109,0,2820,293,9,557,6969
2004,Huron,0,43,1903,396,490,4,80,298
2004,Michigan,831,6,340,44,0,21,NA,35
2004,Ontario,NA,11,NA,7,0,NA,13,112
2004,Saint Clair,NA,11,NA,NA,3,NA,3,0
2004,Superior,10.844,9,584.5,3.5,0,4,0,2
2005,Erie,6881,130,0,6404,337,13,669,7749
2005,Huron,2,56,1578,282,254,4,71,203
2005,Michigan,1351,49,446,38,0,27,NA,46
2005,Ontario,NA,12,NA,9,2,NA,6,105
2005,Saint Clair,NA,4,NA,NA,9,NA,2,0
2005,Superior,16.649,7.7,488.2,7.1,0,3,0,17
2006,Erie,1847,99,0,7978,444,5,662,9197
2006,Huron,0,25,1526,482,294,3,78,550
2006,Michigan,1673,2,474,6,2,26,NA,181
2006,Ontario,NA,8,NA,11,2,NA,7,227
2006,Saint Clair,NA,6,NA,NA,6,NA,2,0
2006,Superior,25.689,8.3,563.7,5.4,NA,1,NA,15
2007,Erie,9885,56,0,5785,451,5,567,7749
2007,Huron,0,40,1544,466,308,0,52,658
2007,Michigan,858,0,542,40,0,22,NA,132
2007,Ontario,NA,5,NA,15,0,NA,7,229
2007,Saint Clair,NA,5,NA,NA,10,NA,1,0
2007,Superior,17,2,449.6,13,NA,4,NA,2
2008,Erie,8219,77,0,4980,528,1,409,6560
2008,Huron,0,35,1448,478,229,0,30,617
2008,Michigan,382,8,696,56,0,22,0,138
2008,Ontario,NA,5,NA,19,0,NA,4,127
2008,Saint Clair,NA,6,NA,NA,0,NA,1,0
2008,Superior,21,1,411.6,11,NA,3,NA,3
2009,Erie,8068,102,0,3520,501,5,454,7387
2009,Huron,0,25,1390,578,278,0,35,632
2009,Michigan,90,4,782,22,0,24,NA,126
2009,Ontario,NA,8,NA,22,0,NA,3,172
2009,Superior,11,1,425.852,7,NA,0.68,NA,1
2010,Erie,3255,47,0,3274,531,3,449,7938
2010,Huron,0,19,1282,552,374,2,36,773
2010,Michigan,646,11,852,18,0,24,NA,152
2010,Ontario,NA,7,NA,25,0,NA,2,184
2010,Superior,29,4,370.964,3,NA,0.46,0,0
2011,Erie,5910,67,0,4417,678,3,213,7942
2011,Huron,0,20,1293,446,286,0,36,862
2011,Michigan,534,4,976,18,2,36,0,101
2011,Ontario,NA,5,NA,24,0,NA,1,221
2011,Superior,51,1,364.7335,8,NA,0.445,NA,11
2012,Erie,7452,54,0,5050,538,1,610,8698
2012,Huron,0,16,1482,456,332,6,20,979
2012,Michigan,64,4,1014,18,2,24,0,134
2012,Ontario,NA,19,NA,32,0,NA,0,163
2012,Superior,85,3,474.67875,8,NA,0.76,NA,7
2013,Erie,6935,62,0,4553,588,1,404,7481
2013,Huron,0,34,1528,516,178,0,10,1060
2013,Michigan,3,7,1316,20,0,18,0,170
2013,Ontario,NA,11,NA,24,0,NA,0,76
2013,Superior,33,3,432.8325,12,NA,1.52,NA,6
2014,Erie,6051,21,0,4871,558,2,441,7012
2014,Huron,0,17,1314,476,212,1,16,1144
2014,Michigan,0,26,1338,14,0,17,0,94
2014,Ontario,NA,10,NA,28,NA,NA,5,78
2014,Superior,8,5,365.93475,5,NA,3.48,0,0
2015,Erie,8333,30,61,4883,619,1,314,5751
2015,Huron,0,23,1458,385,88,4,8,600
2015,Michigan,0,30,886,10,0,19,0,110
2015,Ontario,NA,6,NA,17,NA,NA,8,75
2015,Superior,34,14,367.81175,5,NA,4,0,0
