"Community","Functional.Class","avg_speed.x","total_volume.x","N.x","avg_speed.y","total_volume.y","N.y","nonfatal_injuries","fatal_injuries","change_in_speed","change_in_volume","change_in_accidents"
"abington","Arterial",31.4342995911049,162125,127,35.1455371731903,89571,67,0,0,3.7112375820854,-72554,-60
"acushnet","Arterial",33.9184115564492,72183,32,31.5924114506509,79660,21,0,0,-2.3260001057983,7477,-11
"acushnet","Collector",35.556404494382,4452,2,36.4388916732298,13967,4,0,0,0.882487178847796,9515,2
"adams","Arterial",44.8562339047497,5385211,17,48.7723554928751,5093067,13,0,0,3.9161215881254,-292144,-4
"agawam","Arterial",34.5087306874837,84985,32,36.4246373526745,35311,24,0,0,1.9159066651908,-49674,-8
"agawam","Freeway & Expressway",56.2722413045665,205521,18,64.5464579021851,5073200,6,0,0,8.2742165976186,4867679,-12
"amesbury","Freeway & Expressway",40.9512588596213,18906,5,27.3244628665786,32436,2,0,0,-13.6267959930427,13530,-3
"amherst","Arterial",30.9491845707823,115137,3,33.4131286776463,120506,8,0,0,2.463944106864,5369,5
"amherst","Collector",39.2933365523902,4142,NA,40.2750415973378,6010,NA,NA,NA,0.981705044947596,1868,NA
"andover","Arterial",51.5120189252184,5412672,151,41.074164574726,3172877,66,0,0,-10.4378543504924,-2239795,-85
"andover","Interstate",36.2727243804579,2558621,8,64.4185018636756,88329241,3,0,0,28.1457774832177,85770620,-5
"athol","Arterial",50.4786870573569,33191,22,41.2624723840634,32184,13,0,0,-9.2162146732935,-1007,-9
"attleboro","Arterial",31.4091220097901,233762,150,32.5693168545868,230072,100,0,0,1.1601948447967,-3690,-50
"attleboro","Collector",26.3601008164708,88127,19,30.8711267848766,19353,10,0,0,4.5110259684058,-68774,-9
"attleboro","Interstate",56.4102934692926,9194801,6,69.0808476038587,34187763,4,0,0,12.6705541345661,24992962,-2
"auburn","Arterial",37.9916365932624,6628493,62,41.9868560807973,8371110,36,0,0,3.9952194875349,1742617,-26
"auburn","Interstate",66.8640869037125,21415144,35,68.4703487171019,22418404,18,0,0,1.60626181338939,1003260,-17
"avon","Arterial",34.7816039615231,17570,67,33.2925584902502,135900,85,0,0,-1.4890454712729,118330,18
"avon","Collector",34.4023194808781,7243,NA,35.433344145313,6150,4,0,0,1.0310246644349,-1093,NA
"avon","Freeway & Expressway",65.4671990334139,26358222,NA,69.1364080020841,38569715,NA,NA,NA,3.66920896867019,12211493,NA
"barnstable","Arterial",31.9021749621708,150415,136,26.3736411261973,96357,55,0,0,-5.5285338359735,-54058,-81
"barnstable","Collector",27.3878399408026,168628,9,24.9843377219799,7573,9,0,0,-2.4035022188227,-161055,0
"barnstable","Local Road",24.4428943150198,13969,3,33.8453176512519,11097,2,0,0,9.4024233362321,-2872,-1
"barre","Arterial",39.8077608705525,39396,2,44.5481907712737,9037,3,0,0,4.7404299007212,-30359,1
"barre","Collector",45.9779635258359,3438,5,35.310502283105,6132,1,0,0,-10.6674612427309,2694,-4
"becket","Arterial",53.2372843378893,8915,NA,55.4595108050344,4211,NA,NA,NA,2.2222264671451,-4704,NA
"belchertown","Arterial",45.2697314890155,9840,10,41.7642926775464,36125,9,0,0,-3.5054388114691,26285,-1
"berlin","Arterial",38.9804858619277,32175,29,40.4325887229868,76978,16,0,0,1.4521028610591,44803,-13
"bernardston","Arterial",33.3243370004955,945833,NA,52.3173777899812,2705977,NA,NA,NA,18.9930407894857,1760144,NA
"bernardston","Collector",39.7929906139671,11626,2,42.7785423395591,7059,NA,NA,NA,2.985551725592,-4567,NA
"beverly","Freeway & Expressway",56.0629852923514,12868863,19,33.692111699395,14981385,42,0,0,-22.3708735929564,2112522,23
"billerica","Arterial",31.2277779706519,109620,41,34.791687402835,73217,21,0,0,3.5639094321831,-36403,-20
"billerica","Collector",30.4429756822071,54385,5,32.5726506975851,49360,NA,NA,NA,2.129675015378,-5025,NA
"blackstone","Arterial",28.6538217426784,11034,32,26.6727685295607,32383,19,0,0,-1.9810532131177,21349,-13
"blandford","Interstate",62.1659837924074,10601341,5,62.1762127104521,7810592,2,0,0,0.0102289180446959,-2790749,-3
"boston","Arterial",29.7545450154704,554313,124,32.165091121723,20522,117,0,0,2.4105461062526,-533791,-7
"boston","Freeway & Expressway",29.9824899470929,25761402,115,34.4508554853606,14672058,123,0,0,4.4683655382677,-11089344,8
"boston","Interstate",46.5512071174199,164953666,865,53.4182370032317,140328286,538,0,0,6.8670298858118,-24625380,-327
"bourne","Arterial",30.7040682639148,18129,44,39.1326122087365,50186,22,0,0,8.4285439448217,32057,-22
"bourne","Freeway & Expressway",46.5314262859862,30513653,3,56.9966894929323,36628425,5,0,0,10.4652632069461,6114772,2
"boylston","Arterial",42.1369822937023,28356,14,41.6475555212877,59433,9,0,0,-0.489426772414603,31077,-5
"bridgewater","Arterial",41.9116032735985,42382,43,40.4623151821132,36059,22,0,0,-1.4492880914853,-6323,-21
"brockton","Arterial",30.0487842480237,4663064,440,28.2409784487294,2376470,433,57,0,-1.8078057992943,-2286594,-7
"brockton","Collector",27.0171503113302,84579,41,35.8944919764319,85156,46,0,0,8.8773416651017,577,5
"brockton","Freeway & Expressway",65.3662589896682,73674706,1,52.5222131596727,66236388,NA,NA,NA,-12.8440458299955,-7438318,NA
"brockton","Local Road",21.0412560829667,13305,29,23.8345028397094,23581,50,0,0,2.7932467567427,10276,21
"brookfield","Collector",44.1890028273279,11973,NA,41.5482030804335,15783,NA,NA,NA,-2.64079974689439,3810,NA
"buckland","Collector",32.9139235330198,2626,NA,37.3402005724838,13662,3,0,0,4.426277039464,11036,NA
"burlington","Interstate",59.2188396525343,20878413,NA,61.5825111800292,49527478,9,0,0,2.3636715274949,28649065,NA
"carver","Arterial",25.3654216403543,5194,NA,38.6517156250867,108181,1,0,0,13.2862939847324,102987,NA
"charlton","Interstate",61.4344023410537,37515922,NA,62.6944006657957,28484602,NA,NA,NA,1.259998324742,-9031320,NA
"chelmsford","Arterial",33.6401926546323,130425,41,35.4730491338123,23495,42,0,0,1.83285647918,-106930,1
"chester","Arterial",30.0929522147065,4583,NA,31.8462092995314,8323,NA,NA,NA,1.7532570848249,3740,NA
"chicopee","Arterial",33.9735329133608,188909,219,30.6234362710367,263171,248,0,2,-3.3500966423241,74262,29
"clarksburg","Arterial",29.3568523430592,11310,5,29.901031629067,8676,NA,NA,NA,0.5441792860078,-2634,NA
"clarksburg","Collector",42.1688768054481,642569,NA,44.4900707905204,825393,NA,NA,NA,2.3211939850723,182824,NA
"colrain","Arterial",45.2130192867645,34712,NA,49.4019555555556,28180,NA,NA,NA,4.1889362687911,-6532,NA
"concord","Arterial",13.1390153191184,7022752,7,33.8617342958397,1580457,NA,NA,NA,20.7227189767213,-5442295,NA
"dalton","Arterial",38.5924467879574,32265,3,43.3211336569982,48079,NA,NA,NA,4.7286868690408,15814,NA
"dartmouth","Arterial",33.1604107373055,78348,42,30.4588258421416,53249,28,0,0,-2.7015848951639,-25099,-14
"dartmouth","Collector",33.5861034537668,117221,10,35.5748106757317,109686,15,0,0,1.98870722196489,-7535,5
"dedham","Arterial",29.128514491184,23083,22,29.3890518886842,75164,15,0,0,0.260537397500201,52081,-7
"dennis","Arterial",30.743001473374,28507,20,33.0491076830996,25100,9,0,0,2.3061062097256,-3407,-11
"dighton","Arterial",32.0757299438487,16354,14,41.4415445183996,37016,15,0,0,9.3658145745509,20662,1
"dracut","Arterial",31.8651369236932,39495,31,33.1224362287861,138102,25,0,0,1.2572993050929,98607,-6
"dunstable","Arterial",39.228303043559,38127,NA,31.0632788280348,32912,1,0,0,-8.1650242155242,-5215,NA
"duxbury","Arterial",30.3020646885291,76867,16,39.4530553379474,19570,16,0,0,9.1509906494183,-57297,0
"east bridgewater","Arterial",41.8866026154257,18735,60,38.9154247665755,102219,43,0,0,-2.9711778488502,83484,-17
"east longmeadow","Collector",31.0075620924102,14414,NA,22.7446693029387,25795,NA,NA,NA,-8.2628927894715,11381,NA
"easthampton","Arterial",36.242469103365,65874,31,33.5270367084508,102447,18,2,0,-2.7154323949142,36573,-13
"easthampton","Collector",32.0564159292035,4520,NA,31.1594382486576,14526,NA,NA,NA,-0.896977680545902,10006,NA
"easton","Arterial",36.2900734439279,217879,12,36.6563171716337,181946,37,0,0,0.3662437277058,-35933,25
"easton","Collector",33.001427566638,65787,4,35.0707592503409,63065,10,0,0,2.0693316837029,-2722,6
"edgartown","Arterial",39.8697769627079,693204,NA,39.1122522454882,6436092,NA,NA,NA,-0.757524717219702,5742888,NA
"erving","Arterial",30.2256898881044,25178,6,43.6408159027922,75892,5,0,0,13.4151260146878,50714,-1
"erving","Collector",28.3045711350796,1947,NA,20.9030303030303,825,1,0,0,-7.4015408320493,-1122,NA
"fairhaven","Arterial",32.7796894776035,119259,15,31.6068215456239,122631,7,0,0,-1.1728679319796,3372,-8
"fairhaven","Collector",26.8127622516032,25262,NA,34.2128024193548,4960,NA,NA,NA,7.4000401677516,-20302,NA
"fall river","Arterial",22.5243296065908,90334,388,30.6507447868883,348713,326,0,1,8.1264151802975,258379,-62
"fall river","Collector",23.5404209802406,68968,66,26.8375235010826,113480,52,0,0,3.297102520842,44512,-14
"falmouth","Arterial",28.8767923171291,130566,61,26.3735960167213,73884,50,0,0,-2.5031963004078,-56682,-11
"falmouth","Collector",26.7984082840405,9247,NA,23.716080037603,10585,10,0,0,-3.0823282464375,1338,NA
"fitchburg","Arterial",28.1035532167076,31166,590,37.979868435976,26451,406,0,0,9.8763152192684,-4715,-184
"florida","Arterial",44.6741213853823,8118,NA,35.0990881458967,3290,NA,NA,NA,-9.5750332394856,-4828,NA
"foxborough","Interstate",36.4147811204213,55786195,76,70.2648546608087,84185596,45,0,0,33.8500735403874,28399401,-31
"framingham","Collector",34.1066803608109,11197,7,31.2011952156541,24292,1,1,0,-2.9054851451568,13095,-6
"framingham","Interstate",57.1595457870245,40837293,NA,60.8744537782609,28734034,NA,NA,NA,3.7149079912364,-12103259,NA
"franklin","Arterial",29.5154494968367,54929,19,32.4824208331313,20621,5,0,0,2.9669713362946,-34308,-14
"freetown","Arterial",39.3483277742721,6596,4,30.1088384184865,29951,7,0,0,-9.2394893557856,23355,3
"freetown","Collector",35.1757804529688,19604,2,35.3793454431569,12772,NA,NA,NA,0.203564990188099,-6832,NA
"georgetown","Interstate",72.4234321355276,6131728,NA,73.9446800602685,19545104,NA,NA,NA,1.52124792474089,13413376,NA
"greenfield","Arterial",34.8142878033451,130082,31,31.0045883124931,97264,23,0,0,-3.809699490852,-32818,-8
"greenfield","Collector",26.8913678711577,100709,9,31.5610042158338,17534,NA,NA,NA,4.6696363446761,-83175,NA
"greenfield","Freeway & Expressway",62.52419882276,21406,1,68.3335983993433,19492,1,0,0,5.8093995765833,-1914,0
"groton","Arterial",37.6322765538241,5583,54,35.8258403397313,37473,52,0,0,-1.8064362140928,31890,-2
"hadley","Arterial",37.2756357293675,21789,68,38.3869163424124,28790,35,0,0,1.1112806130449,7001,-33
"hancock","Collector",52.2354877377134,154335,NA,54.6029105425372,1033072,NA,NA,NA,2.3674228048238,878737,NA
"hanover","Arterial",37.6093924017098,207729,26,35.6097543558983,21006,NA,NA,NA,-1.99963804581149,-186723,NA
"hanson","Arterial",34.9765777227487,42761,2,33.9788497884979,22222,4,0,0,-0.997727934250804,-20539,2
"hardwick","Arterial",42.8403326081838,24971,4,45.0491201694009,26250,4,0,0,2.2087875612171,1279,0
"hatfield","Interstate",63.919149207336,11252316,1,65.7093776945908,7077884,NA,NA,NA,1.7902284872548,-4174432,NA
"haverhill","Arterial",32.6362431755288,109869,187,36.4332141633134,1885831,107,0,0,3.7969709877846,1775962,-80
"haverhill","Local Road",20.7076843962562,32567,18,25.216590892958,31078,14,0,0,4.5089064967018,-1489,-4
"hawley","Collector",36.8531082616458,6161,1,33.6334951456311,2060,1,0,0,-3.2196131160147,-4101,0
"hingham","Arterial",29.9875536452966,74974,58,31.9280709948622,4282,46,0,0,1.9405173495656,-70692,-12
"holden","Arterial",35.4858768117877,72242,64,44.8865376281959,13852,21,0,0,9.40066081640821,-58390,-43
"holliston","Arterial",35.7628075651855,10892,17,37.5883053478458,58674,10,0,0,1.8254977826603,47782,-7
"holyoke","Arterial",32.0470345218416,30433,253,29.9203541501221,128010,209,0,0,-2.1266803717195,97577,-44
"holyoke","Collector",29.1845794392523,8988,17,29.3094182102792,15336,15,0,0,0.124838771026901,6348,-2
"hopedale","Arterial",35.8894317120483,27838,10,38.3676432356478,27863,11,0,0,2.4782115235995,25,1
"hopkinton","Arterial",37.2212515052278,54502,11,37.4183280568153,11687,4,0,0,0.1970765515875,-42815,-7
"hopkinton","Interstate",36.5739580870453,35696394,38,61.267965506814,25865107,35,0,0,24.6940074197687,-9831287,-3
"hubbardston","Arterial",52.8324060023605,17444,2,48.8844221105528,11741,10,0,0,-3.9479838918077,-5703,8
"hudson","Arterial",26.9718452106737,28219,10,36.0760835913313,6460,18,0,0,9.1042383806576,-21759,8
"huntington","Arterial",42.4261174577666,1054573,NA,37.2561047638871,1075973,NA,NA,NA,-5.1700126938795,21400,NA
"kingston","Arterial",43.1587590355601,20613,61,38.3631284916201,12172,45,0,0,-4.79563054394,-8441,-16
"lakeville","Arterial",33.3739045170931,77493,27,31.7714176089698,27842,18,0,0,-1.6024869081233,-49651,-9
"lanesborough","Arterial",45.9102399786483,1587624,6,44.7693512322303,1671939,2,0,0,-1.140888746418,84315,-4
"lee","Arterial",30.5048606288705,867642,7,41.6317870261699,2042563,NA,NA,NA,11.1269263972994,1174921,NA
"lee","Interstate",62.8550079106189,6264734,NA,63.1545983000619,6557125,NA,NA,NA,0.299590389442997,292391,NA
"lenox","Arterial",45.846254212662,4885860,2,46.3744180983764,10937387,4,0,0,0.528163885714406,6051527,2
"leominster","Arterial",20.5447357751047,7399,316,30.0585157751441,70641,262,0,0,9.5137800000394,63242,-54
"leyden","Collector",34.3904711557523,7737,NA,38.3003424657534,2891,NA,NA,NA,3.9098713100011,-4846,NA
"lowell","Arterial",29.7401047809145,327741,360,30.8635970822608,164425,240,13,0,1.1234923013463,-163316,-120
"lowell","Freeway & Expressway",43.1062916653276,76578,21,54.2963254571917,2788356,37,0,0,11.1900337918641,2711778,16
"ludlow","Arterial",37.3489870682681,55308,30,26.7917529330573,28987,23,0,0,-10.5572341352108,-26321,-7
"ludlow","Interstate",65.2288826323928,30164150,9,65.827139153738,28622910,NA,NA,NA,0.598256521345206,-1541240,NA
"lunenburg","Arterial",33.488812937849,32068,73,39.2333588542605,22204,27,0,0,5.7445459164115,-9864,-46
"lynnfield","Interstate",58.9374596401621,25892726,13,64.1627134775905,39151292,12,0,0,5.2252538374284,13258566,-1
"mansfield","Arterial",9.71253524181306,12262,168,32.4228180412442,115420,90,0,0,22.7102827994311,103158,-78
"mansfield","Collector",32.1003794907853,40018,15,30.6569783284325,25841,14,0,0,-1.4434011623528,-14177,-1
